term,CRN,subject,course,title,cross listed,linked(labs),credit value,actual,max seating,start date,end date,start time,end time,days,building,room,faculty
201410,10003,ACCT,2241.1A,Introductory Financial Acct,,,3.00,57 ,60 , 4-Sep-2013, 17-Dec-13,1130,1245,TR,LA,173,James Power
201410,10002,ACCT,2241.1B,Introductory Financial Acct,,,3.00,57 ,60 , 4-Sep-2013, 17-Dec-13,1130,1245,MW,LA,171,Heather Sceles
201410,10004,ACCT,2241.1C,Introductory Financial Acct,,,3.00,50 ,60 , 4-Sep-2013, 17-Dec-13,1800,2045,T,LA,171,Natalia Kochetova-Kozloski
201410,14644,ACCT,2241.1CR,Introductory Financial Acct,,,3.00,16 ,30 , 4-Sep-2013, 17-Dec-13,1630,1915,R,RA,,Robert Farmer
201410,10005,ACCT,2241.1D,Introductory Financial Acct,,,3.00,54 ,60 , 4-Sep-2013, 17-Dec-13,1000,1115,TR,LA,171,Hong Fan
201410,10008,ACCT,2241.1E,Introductory Financial Acct,,,3.00,57 ,60 , 4-Sep-2013, 17-Dec-13,1430,1545,TR,SB,265,Hong Fan
201410,10009,ACCT,2241.1F,Introductory Financial Acct,,,3.00,57 ,60 , 4-Sep-2013, 17-Dec-13,1000,1115,MW,B,205,Heather Sceles
201410,14568,ACCT,2241.1G,Introductory Financial Acct,,,3.00,50 ,60 , 4-Sep-2013, 17-Dec-13,0830,0945,TR,LA,188,James Power
201410,10898,ACCT,2241.1WT,Introductory Financial Acct,,,3.00,20 ,26 , 4-Sep-2013, 17-Dec-13,1730,2030,M,WT,,Shirley Carras
201420,20002,ACCT,2241.2A,Introductory Financial Acct,,,3.00,60 ,60 , 6-Jan-2014, 26-Apr-14,1430,1545,MW,LA,181,Natalia Kochetova-Kozloski
201420,20003,ACCT,2241.2B,Introductory Financial Acct,,,3.00,58 ,60 , 6-Jan-2014, 26-Apr-14,0830,0945,TR,SB,160,Heather Sceles
201420,20004,ACCT,2241.2C,Introductory Financial Acct,,,3.00,67 ,60 , 6-Jan-2014, 26-Apr-14,1430,1545,TR,SB,255,Heather Sceles
201420,24275,ACCT,2241.2CR,Introductory Financial Acct,,,3.00,20 ,22 , 6-Jan-2014, 26-Apr-14,1630,1915,R,RA,,Grace Chitate
201420,22469,ACCT,2241.2WT,Introductory Financial Acct,,,3.00,20 ,26 , 6-Jan-2014, 26-Apr-14,1730,2030,R,WT,,Shawn West
201410,10012,ACCT,2242.1A,Introductory Managerial Acct,,,3.00,54 ,60 , 4-Sep-2013, 17-Dec-13,1130,1245,TR,LA,174,Jeffrey Power
201410,10013,ACCT,2242.1B,Introductory Managerial Acct,,,3.00,51 ,60 , 4-Sep-2013, 17-Dec-13,1400,1700,T,HC,FH,Scott Laing
